  -6.9551e-01  -6.9501e-01  -1.6603e-01  -1.8057e-01   4.3870e-16   6.1745e-02  -2.7418e-16   6.3332e-17
  -6.7992e-02  -6.5043e-02   1.7508e-01   1.8279e-01  -4.0497e-16  -5.5342e-02   8.6856e-16   5.1184e-16
   3.5692e-02   1.5768e-02   4.1728e-01   6.7573e-01  -2.1994e-15  -3.0870e-01   1.6543e-16  -1.1092e-15
  -2.3359e-03  -2.8355e-03   1.3760e-01  -1.0416e-01   5.7358e-16   3.8095e-01  -1.4112e-15   1.4477e-16
   1.4064e-02   1.6516e-03   8.4188e-02  -3.0926e-02   1.9599e-16   3.3563e-01  -2.5998e-15  -9.2686e-16
   1.3794e-17   3.2930e-18   4.9325e-17   1.1415e-16   3.7867e-01  -9.5025e-16   1.8938e-02  -4.3411e-01
   7.4885e-17   2.6546e-17  -7.3176e-17   5.9842e-17   3.6740e-01  -9.1649e-16   2.1771e-02  -4.8419e-01
  -6.8934e-17  -2.9143e-18   3.7337e-17  -4.5398e-16  -2.0856e-02   1.7644e-15   3.4386e-01   2.3909e-02
  -3.4090e-17   4.7229e-18   6.6745e-17  -4.1632e-16  -2.0235e-02   1.9896e-15   3.9528e-01   2.6667e-02
   6.9551e-01  -6.9501e-01  -1.6603e-01   1.8057e-01  -1.3459e-16   6.1745e-02  -2.8639e-16  -1.1105e-16
   6.7992e-02  -6.5043e-02   1.7508e-01  -1.8279e-01  -5.5880e-17  -5.5342e-02  -5.2325e-16  -5.7673e-16
  -3.5692e-02   1.5768e-02   4.1728e-01  -6.7573e-01   8.8640e-16  -3.0870e-01   2.8951e-15   1.5012e-15
  -2.3359e-03   2.8355e-03  -1.3760e-01  -1.0416e-01  -9.8075e-16  -3.8095e-01   2.1764e-15   2.7246e-16
   1.4064e-02  -1.6516e-03  -8.4188e-02  -3.0926e-02  -1.4514e-15  -3.3563e-01   8.2449e-16  -4.0595e-16
  -1.5046e-17   4.9484e-17   7.2471e-17   8.9413e-16   3.7867e-01  -5.5612e-16   1.8938e-02   4.3411e-01
  -5.0761e-17  -5.5588e-17   1.0846e-16   7.5834e-16   3.6740e-01  -6.4812e-16   2.1771e-02   4.8419e-01
   8.2517e-17  -1.2354e-18   2.7892e-17   3.7002e-16  -2.0856e-02   1.6910e-15   3.4386e-01  -2.3909e-02
   5.4859e-17   5.0567e-18   6.2003e-17   3.4188e-16  -2.0235e-02   1.9196e-15   3.9528e-01  -2.6667e-02
